@relation 'optdigits-weka.filters.unsupervised.instance.Randomize-S42_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.9-A5-M20'

@attribute -0.273input3-0.26input59-0.234input11-0.232input10-0.221input4... numeric
@attribute 0.259input6+0.254input15-0.245input61+0.234input7+0.234input14... numeric
@attribute '0.321input44+0.29 input45+0.267input36+0.254input37-0.254input39...' numeric
@attribute '0.238input62+0.22 input21+0.211input29-0.196input52+0.195input54...' numeric
@attribute '0.28 input50-0.265input56-0.239input63+0.229input42-0.222input16...' numeric
@attribute -0.286input19-0.278input26-0.259input27+0.256input50+0.221input16... numeric
@attribute '0.32 input53+0.273input24+0.233input16-0.215input43+0.197input18...' numeric
@attribute -0.302input13-0.28input22-0.273input52-0.253input53-0.221input12... numeric
@attribute -0.257input51-0.244input16+0.239input2+0.235input64-0.234input8... numeric
@attribute -0.352input41-0.305input49-0.269input33-0.222input6+0.213input2... numeric
@attribute 0.276input33+0.276input41+0.257input17+0.251input25+0.221input24... numeric
@attribute 0.323input17+0.257input25-0.25input60-0.233input56+0.224input62... numeric
@attribute -0.4input48-0.298input17-0.284input25-0.254input56+0.234input37... numeric
@attribute 0.278input28-0.264input17-0.261input46+0.236input27-0.225input25... numeric
@attribute -0.474input33+0.397input57+0.312input32+0.302input49-0.248input41... numeric
@attribute -0.371input25+0.349input5-0.255input17+0.246input32+0.239input10... numeric
@attribute 0.386input57-0.34input32-0.234input5-0.227input56-0.221input24... numeric
@attribute -0.363input37-0.273input46-0.252input22-0.243input38-0.239input30... numeric
@attribute 0.729input9-0.29input25-0.224input58-0.172input2-0.15input12... numeric
@attribute -0.376input9+0.328input8-0.23input12+0.224input16+0.222input26... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-6.555357,0.360527,2.50662,-1.080527,-0.048207,1.41638,2.795615,-1.314528,2.607789,0.582503,0.050134,1.656358,0.960265,-0.139477,-0.468769,1.350105,0.653836,-0.556616,-0.459924,0.389527,2
-1.03769,-2.436976,0.705235,2.906939,-0.987911,-1.918803,2.800885,-0.044819,-0.154465,0.43122,0.624193,0.154961,0.693144,-0.40998,0.26675,0.275852,1.783517,-0.050602,-0.179906,0.094455,1
1.229396,-2.809202,-2.641045,-1.052324,0.285608,-1.274826,-0.096613,-1.382347,-1.357093,0.818763,-0.375026,-0.402848,-0.896303,0.284051,-0.890765,0.394491,-0.235052,-0.28177,-0.460623,-0.260191,0
-5.532674,0.265301,2.410984,-1.250519,-0.049554,2.207625,0.562538,-0.622845,0.93807,0.58176,-0.280681,1.107679,0.755295,0.062807,0.281478,-0.653972,0.309524,1.19728,-0.286893,-0.555709,2
2.939124,1.721707,0.48568,4.734208,1.64058,0.377078,-0.547935,2.30333,1.82772,-0.721996,-0.954846,1.871236,1.106767,1.250194,0.022216,-0.946981,-0.256157,-0.177438,0.486767,0.862538,1
0.454604,-5.070608,2.576012,1.773759,-4.192217,1.827569,-2.250645,1.243922,1.215203,-0.091868,1.030159,-1.64934,-3.520397,0.658731,-1.321435,1.550867,-0.85609,-0.71215,-0.44221,0.8533,6
-2.051421,-1.130768,-1.153731,2.209471,0.52583,-0.273037,0.780337,-0.043572,-1.587707,1.624475,0.946754,-1.052644,-0.00843,-0.58924,0.388655,-0.885469,1.042992,0.653364,0.742538,0.018939,3
4.378824,0.438289,0.774924,2.563717,0.830654,-1.308839,0.536564,0.14076,1.443084,1.460745,0.587552,-0.195362,0.025784,1.224881,-0.173979,-0.267304,0.219073,-0.606877,-0.219081,-0.684334,4
1.898127,5.196761,0.306413,-0.093207,-1.363924,0.852921,-2.211734,-0.621301,0.951239,-0.977314,-0.047019,-0.141647,0.239848,0.040701,0.522875,-0.333697,-0.004141,-0.212393,-0.127886,-1.206948,7
-2.693097,2.500537,2.974117,-2.241064,1.638377,-0.043359,-0.96687,-0.508058,-0.845549,0.648402,-0.195987,-0.548327,-0.811345,0.795417,-0.421679,-0.772695,-0.484812,1.210657,0.495023,0.327677,8
-5.879712,1.596496,0.968712,-0.67607,0.32157,2.118537,-0.140614,-0.560822,1.495512,-1.081531,-0.059393,2.402522,0.393852,0.596317,-0.779368,1.459086,-0.622301,-0.001104,-0.990305,0.269043,2
-2.6745,-0.185352,-3.304601,2.32856,-0.439759,1.471663,-0.482845,0.158744,0.488835,0.433858,0.794913,0.542581,0.149495,0.41801,0.17188,-1.189422,0.51824,1.589011,0.36518,-0.733234,9
6.572435,-2.881421,-0.062356,0.460109,2.596945,0.631018,0.736327,-0.144378,2.222252,1.056563,-0.982694,1.265068,-0.128882,-0.180894,-0.412919,0.37963,-0.815961,0.359546,0.281985,0.803479,4
4.188182,-0.965468,1.50888,-1.114015,0.235107,-0.233411,-1.365848,-0.141978,1.804518,0.537471,0.188144,-0.226732,1.521728,-0.340989,0.86211,-0.667665,0.263165,-1.111535,0.233062,-0.393118,4
1.383324,3.900984,0.45036,0.090268,-0.676955,0.309688,-2.833199,-1.020469,1.139398,-0.603158,0.47522,-0.564024,0.383516,-1.410587,1.010469,0.894838,-0.03761,0.06437,-0.438348,-0.837571,7
-2.234258,-0.802917,-3.742297,1.756872,-0.671956,0.573481,0.003714,-0.117895,-0.472397,-0.08492,0.243944,-0.383266,-0.689505,-0.219101,0.076359,-0.38514,0.341422,1.268356,0.177566,-0.591661,5
4.062083,-0.517566,1.685086,2.047766,1.203567,-1.343598,0.379214,0.862937,1.446096,1.503924,0.545609,-0.358582,0.590582,0.206397,0.302924,-0.175224,0.187267,-0.361378,0.05908,-0.247507,4
-4.351909,0.357719,1.009904,1.669619,1.023279,1.04766,1.825673,2.741266,0.837289,1.14148,-0.059199,-0.152473,-0.385641,-1.17104,-0.498376,1.219176,-0.773485,0.551378,-1.251474,-0.780231,3
-1.33271,-0.202462,1.384997,-0.805575,2.486268,1.435598,-0.438606,-0.540806,-1.55266,-1.5651,-2.116179,1.866825,-1.300828,0.842989,0.035557,-0.264305,-0.057556,1.012812,-0.265716,0.145384,2
-0.649905,-4.557151,1.755137,-0.345619,-3.124983,1.275826,-1.320073,2.172866,0.003571,-0.587746,-0.185806,0.771592,1.169903,0.319574,0.368712,-0.824553,0.765515,-0.005733,-0.208453,-1.513678,6
0.333936,-4.520816,0.153674,-1.669433,-1.644829,0.188972,-0.863174,1.868396,0.097066,-0.464411,-0.21653,0.385335,2.09216,-0.623281,0.835875,-0.313649,0.755034,-1.166399,-0.167994,-0.120563,6
0.089557,0.411318,2.664967,3.699616,0.491267,-0.017974,-0.082359,-2.050091,-0.59391,1.458563,0.707952,-0.209255,0.817224,-0.758877,0.118716,0.714069,0.659491,-1.576344,-0.708531,-0.60504,1
0.142682,-0.196074,0.393184,-1.892648,-0.271551,-3.145311,1.704696,1.013429,0.198435,-0.404792,-0.084416,-1.424322,0.338521,-1.427083,0.724873,1.108559,-0.119775,0.597512,-0.143788,0.263935,5
2.364752,-1.623702,-3.521533,-1.582571,0.662691,-0.183501,-0.407059,-2.519279,0.424447,0.915613,-0.700618,-0.483562,-0.04576,-0.810438,0.112226,0.145332,-0.128207,-0.279659,-0.046613,0.017868,0
0.691894,5.574178,0.274632,-0.555765,-1.097319,1.489989,-2.914421,0.263792,1.029829,-0.809516,0.037936,-0.005782,-0.354637,0.105854,0.338909,-0.567012,0.23531,0.70119,0.125532,-0.617186,7
-0.955101,-0.695942,-1.864705,3.2775,-0.832483,1.944003,-2.290554,-0.029853,-0.591388,-1.120633,-0.129627,1.303042,-0.264023,-0.394015,0.178168,-0.024664,-0.084121,1.300043,-0.376738,-1.028725,3
-2.65246,2.322351,-1.497772,2.138786,1.098844,0.381816,-0.722507,0.489074,-0.47669,0.813069,0.873228,-1.588585,0.393747,-1.616333,0.59301,0.666033,-0.590108,-0.781337,-0.368332,0.258896,3
0.52411,-3.668081,3.138528,1.890802,-1.820429,1.325258,-1.327462,1.95282,-0.050244,-0.007736,0.090635,0.64615,-1.158175,-0.06501,-0.413181,0.425164,0.289383,1.232088,-0.070462,-0.829476,6
-0.807041,-0.98775,4.289426,0.324716,0.295244,-1.58884,0.301577,-0.831269,-1.989599,0.819521,0.373744,-0.385933,0.292834,0.490546,-0.46714,0.038103,0.163304,-0.182153,-0.24065,-0.04603,1
-4.585469,-1.40627,1.981251,-1.675813,1.764824,1.074796,1.105108,-0.874797,-2.244231,0.127695,-0.585318,0.613108,0.188548,0.645459,-0.036345,-0.721542,0.265919,-0.562609,0.422592,0.784867,2
-1.537751,1.148416,-0.090738,2.011359,0.890635,-0.204122,-0.584635,0.460053,-1.282365,0.361336,0.323079,-0.835818,1.009216,-1.223288,0.897305,-0.192602,-0.297306,-0.082301,0.01758,0.198004,3
4.991442,5.562245,-0.025066,-2.530843,-6.655264,3.133202,4.335449,0.768602,-4.009047,1.224068,-1.598074,1.628314,-0.926895,-1.702618,-1.031086,-0.590251,2.915063,0.806195,1.578326,2.416392,7
0.2056,-4.472803,-0.433094,-0.928224,-1.681513,-0.458146,-1.172609,1.855085,-0.194355,-0.85675,0.686584,0.519014,0.538737,-0.549549,-0.101926,1.501683,0.43636,-0.813938,-1.048032,0.63434,6
0.8006,-4.311167,3.299112,1.33134,-1.894339,1.021024,-0.68008,1.245939,0.185608,-0.681375,-0.89704,0.999669,-0.674946,-0.323048,-0.494678,0.824291,-0.021432,0.987426,-0.436083,-0.730465,6
-3.257034,0.43901,-1.254862,2.299353,0.719468,1.245667,-0.222638,1.463371,-0.355641,0.43807,0.916955,-0.161231,0.497481,-1.273423,0.798124,-0.349096,-0.359662,1.43669,0.665405,0.139962,3
-4.92384,-0.147288,1.593024,-1.282329,-0.346111,-0.125295,1.790281,-0.690618,0.15051,0.593158,0.462795,0.531373,1.371428,-0.280192,0.183469,-0.133635,0.98571,0.474836,0.593017,0.155281,2
2.18941,0.97438,1.694456,5.145952,0.910024,-1.757186,1.828329,0.835159,1.021828,-0.980411,-1.255521,1.269859,-0.312877,0.922866,-0.763303,0.746225,0.454042,-0.135841,-0.649856,0.672859,1
-2.240734,0.619694,-1.423632,3.307467,0.628081,1.161001,-0.674417,-0.075582,-0.30117,0.644787,0.41532,-0.327696,0.124541,-2.157309,0.840316,0.24429,0.172724,1.392714,0.157153,0.332479,3
0.805313,1.670081,-1.835301,-0.613893,-0.357924,-2.693706,2.322835,1.746066,0.01419,-0.539089,-0.65138,-2.379817,-0.591652,-0.562961,0.449983,-0.992568,0.199056,0.24437,0.547637,0.676376,5
1.272162,-0.664072,-2.271604,-2.119534,0.422437,-0.28801,-0.326739,-2.366367,-0.46553,-0.260652,-1.419411,-0.224962,-0.328455,-1.619117,0.348006,0.569255,-0.823685,1.182076,-0.253758,-0.36752,0
0.955148,3.59018,0.823939,-0.192246,-0.548245,0.471903,-3.111709,-0.463858,0.735313,-0.791686,0.065739,-0.265099,0.331653,-1.472357,0.72566,0.938443,-0.079305,0.074135,-0.535812,-0.658697,7
-4.873353,-0.434496,2.225407,-1.780733,0.405984,0.067474,1.680372,-0.282639,-0.378395,1.186653,0.064246,0.312045,0.381339,0.136418,-0.529273,0.143205,0.814015,-0.137541,-0.005471,-0.327045,2
-0.133198,2.465601,0.394636,-3.174744,-0.440175,-3.281286,1.971833,2.209679,1.510297,-0.909144,0.128566,-1.502915,-0.440136,-0.542392,0.024947,0.932731,-0.047227,0.667524,0.405233,1.36214,5
2.278923,1.442518,1.652285,4.744246,1.526676,-1.760242,1.251551,1.092614,1.241489,-0.953127,-0.805493,1.229522,0.041346,0.663216,-0.365889,0.892785,0.060253,-0.067564,-0.343498,1.224159,1
-0.078552,1.164063,-0.294538,0.708036,-0.193756,-2.521405,2.211454,1.948403,-0.606202,-1.033572,-0.457708,-1.074823,0.091396,-1.676588,0.351857,1.329913,-0.035182,0.158527,0.052373,-0.249058,5
-2.296423,1.239071,-0.920278,2.139612,-0.598139,-0.842254,0.434696,0.900803,-0.734254,-1.966338,0.048703,0.617691,1.352503,-0.109207,0.212212,0.394138,-1.075762,-0.164325,-0.503339,-0.300943,3
-1.241625,-0.372199,0.066226,0.838052,0.559466,0.740326,-0.914981,-0.066804,-2.166775,-0.041512,-0.372217,-0.122134,1.033301,0.749163,-0.416327,-0.979803,-1.296421,-1.875791,-0.689832,-0.614923,8
1.098172,1.050148,-1.973243,1.557671,0.464405,0.363207,-0.647949,1.277086,-2.243242,-0.884365,-1.078239,-0.618442,-0.224258,0.71078,-0.68466,-0.767601,-1.341392,-2.045065,-0.600977,-0.535728,8
-0.93268,1.111772,1.065257,-1.032973,-0.271668,-2.058808,1.449377,0.705029,-0.63955,0.045223,-0.169588,-2.855767,0.011814,-1.296159,1.13635,-0.684054,-0.545933,1.4174,0.34972,-0.869057,5
-0.932179,1.103744,-0.315748,-0.853613,1.327216,-1.171437,0.060049,0.780204,-1.077815,-1.671148,-0.022373,0.114792,0.876347,1.636294,-0.344012,-0.502175,-2.050291,-1.427479,0.185791,0.750649,8
-1.132833,0.228469,1.925783,-0.190324,1.095988,-1.228248,-0.760897,-0.355655,-2.65008,-0.616037,-0.337307,-0.045558,-0.08264,0.835751,-0.535123,-0.461612,-1.632003,0.77488,-0.090494,-0.003085,8
3.56326,3.320986,-0.318578,-1.287627,-0.007888,2.582123,-1.535309,-1.91719,0.895491,-0.967262,-1.780312,-0.038051,0.789564,-2.024502,0.44683,-0.210265,-1.138581,-1.535235,-0.184364,-0.650153,7
-1.806778,-0.514185,1.011042,1.653707,-0.064724,-0.828937,0.888262,-0.02887,-1.114927,0.367805,0.59087,-0.296591,1.4133,-1.59347,0.987436,0.193122,0.394985,0.533142,0.107432,-0.089206,3
-3.049523,1.713475,-0.585215,1.133958,2.067814,1.710267,1.082886,-0.384515,1.448307,2.863044,-0.327868,-1.025055,0.680759,-1.940983,0.922797,-0.55598,0.706501,-0.575759,-0.63122,-0.767723,3
0.009181,-0.020591,-0.07085,0.854259,0.656143,-1.451754,0.483064,0.409341,-1.498282,0.727971,-0.356315,-2.084229,-0.495556,-0.842583,0.469967,-0.43019,0.138374,0.315744,0.305652,-0.377062,5
-0.021849,-2.125496,-3.903987,-1.507191,0.260859,0.647842,-0.705021,-1.316599,0.454387,0.038891,-0.219044,1.285933,0.568843,-0.152676,0.210047,-0.313873,-0.168993,1.219464,0.568356,0.598604,0
2.735751,-3.739115,2.56665,-1.276349,4.227001,2.838317,0.803842,0.781508,-0.806911,-1.077839,-3.266962,0.460439,-0.446033,-0.858015,1.504826,-1.901778,-0.878424,-0.313505,1.49433,1.175019,4
2.680569,0.115791,4.437625,0.316279,1.954748,-0.859746,-0.976024,-0.554705,-1.085673,-0.350601,-1.192148,0.919259,-0.825866,1.014603,-1.215266,0.203865,-0.056327,-0.353522,-0.008596,1.031204,1
-3.913314,-0.880686,2.79777,-0.482437,0.589865,0.389508,0.023293,-1.248053,-2.671348,1.291279,0.192168,-0.1432,0.521647,-0.479315,-0.192094,-0.517657,0.196784,0.521769,0.197519,-0.084377,2
0.349737,2.424536,0.172596,-0.265557,-0.005903,-0.207963,0.120244,0.359756,-2.17416,-0.5824,-1.343817,-0.982117,-0.020833,0.905435,-0.497039,-1.731063,-1.435701,-0.9947,-0.313013,-1.261693,8
5.261122,4.160902,-1.055441,-1.964372,-4.139813,4.164986,3.561397,-0.532823,-2.337267,0.933463,-1.739158,1.477593,-0.620869,-1.731992,-0.426998,0.919212,0.300563,0.594518,0.033513,-0.511273,7
-0.724773,0.001633,0.364531,-3.71008,0.216494,-2.571845,0.903188,0.72795,0.505635,-0.410628,-0.205527,-0.968125,0.361268,-0.985929,0.172327,1.273495,-1.037057,0.650384,-0.609499,0.764956,5
0.058676,-1.311056,4.050327,-1.015347,0.229973,-1.095819,-0.830894,-0.303846,-2.058891,0.913236,0.607488,0.009409,-0.562677,0.613104,-0.408341,-0.59214,0.21311,1.739869,0.418869,-0.641364,1
1.108089,-3.235231,0.782719,-1.007826,0.503217,-0.991612,-0.788374,1.291343,-1.509092,0.417784,0.389751,-1.124497,0.432686,-0.727661,0.001167,0.728126,0.02907,-2.058491,-0.411807,0.716334,6
1.773542,-3.244182,-1.370055,0.548984,0.052816,0.161267,-1.220665,-0.652831,-0.910257,0.806213,-0.5496,0.66342,-1.000663,0.101784,-0.779156,0.351775,0.2063,0.765327,-0.433167,-0.830387,0
1.730434,-0.677607,0.949477,-2.542677,-0.488771,-0.556215,-2.35589,-0.530631,1.627063,1.092027,1.554498,-0.634507,1.641596,0.312952,1.135393,-1.236474,1.114304,-0.406576,1.016939,0.639772,4
0.222431,-0.25074,3.015506,-0.621821,0.266864,-3.362006,1.140909,-0.743215,-0.539293,-0.322515,0.992617,1.284624,-1.084561,1.475365,-0.845653,0.609712,1.285751,2.117611,0.375326,0.630673,1
-2.045514,-2.657039,0.914077,-0.379449,2.220134,1.373131,0.248058,1.599772,-1.970208,-0.990229,-0.514226,-0.024042,0.283018,0.363506,0.242814,-1.08301,-1.650712,-0.449341,0.547582,1.842759,8
-2.967254,0.276972,-2.456971,1.981033,0.718135,0.758246,-0.469329,-0.814754,-0.7589,0.916218,1.266014,-0.466495,0.33921,-1.333264,0.549762,0.344336,0.414997,0.253844,0.522243,0.636855,3
0.330174,-4.49921,2.501171,1.437984,-2.274344,1.661403,-0.850677,0.880804,0.250649,-0.281555,-0.752406,0.660554,-1.146796,-0.47627,-0.290549,0.350236,0.182231,1.323979,-0.004445,-0.960467,6
2.045501,-0.422853,1.436478,-1.502927,-1.732522,-1.954938,-0.066505,0.123385,0.8832,0.770408,1.485311,-1.375604,0.895351,0.300735,1.194398,-0.778433,1.26297,-0.081648,0.254188,-1.365645,4
2.914345,0.277465,-0.39986,2.752965,-0.528422,-1.361845,1.453778,1.466509,0.798145,-1.070233,-1.095944,0.669804,0.084845,-0.060667,-0.152716,0.809805,0.312598,-0.181065,-0.97528,-1.117289,8
0.415918,-5.337236,0.034337,-2.581089,0.176555,1.44223,-1.070566,2.195975,-0.948868,-0.374594,-0.334608,-0.355279,0.808772,-0.527156,0.924916,-0.74174,0.243077,-2.129285,-0.049368,0.682679,6
-2.479486,1.955495,0.861711,-0.228303,0.265464,1.099162,-2.073971,-1.401441,-0.232101,-1.10119,-0.38712,1.324434,0.631465,-0.399169,0.027521,0.762422,-0.565499,0.645678,-0.608048,-0.326627,2
-1.031222,2.544227,0.217712,-2.376402,0.57488,-0.130879,-2.593268,-1.335745,1.615916,0.489833,2.91459,0.637197,0.366759,0.600253,-0.176605,1.533674,0.42436,-0.173835,0.837592,1.80124,7
0.184318,0.508483,3.398899,1.602202,1.039882,-1.051495,-0.102184,-1.555516,-1.277002,1.443069,0.374053,-0.582915,0.537551,0.164474,-0.129006,-0.220156,0.656831,-1.177986,-0.03641,-0.20242,1
8.605791,7.020023,-0.143632,-1.155344,-6.249814,6.963296,6.420609,1.885427,-5.619302,3.430819,0.587677,3.007472,0.303645,-0.967379,-1.187267,1.516173,-0.098388,-0.799598,0.368586,3.675476,7
2.162105,0.214171,-0.176662,0.67771,0.189285,-3.555807,2.261577,1.975644,0.02457,-0.673335,-0.560017,-1.379612,-0.444594,-0.728813,0.326941,0.22715,0.179732,0.908686,0.041162,0.646106,5
-1.938873,-3.61065,4.029648,0.642489,-3.41553,0.790264,0.628091,-0.417486,-0.200217,-0.383958,-0.711534,-1.41296,-1.153055,0.962874,-0.168553,-1.324232,-0.965947,0.445671,0.542991,-0.628921,1
-3.651493,1.729516,-1.219994,2.568525,1.663336,0.464181,0.46797,2.390777,-0.12656,0.437633,0.609914,-0.782061,0.387317,-1.092267,0.149005,0.399601,-1.37035,0.133539,-0.130329,0.438559,3
-0.279288,1.445863,-0.497977,-1.312619,-0.409057,-2.769644,2.159598,2.140548,0.522954,-0.699015,-0.521096,-1.185628,-0.206325,-1.283417,0.206069,1.186983,0.47069,0.193974,-0.114882,0.364477,5
-1.139328,0.016592,-3.292749,3.078023,0.382124,-1.101042,1.250558,-1.07185,-0.647116,1.325412,1.054432,-0.900206,-0.423551,0.678385,-0.426734,-0.539363,0.879974,-0.251399,0.236734,-0.396184,9
0.260007,-1.013415,1.855097,2.752284,-0.557134,1.561306,-1.42808,0.511053,-0.803593,-1.428885,-1.25459,1.389743,-0.383051,0.630655,-0.525089,0.023031,-0.061538,-0.356363,-0.877458,-1.040531,8
0.521203,-0.967583,-3.968087,-1.469138,1.206588,-0.06487,-0.231541,-1.956789,0.256551,-0.099636,-0.501921,1.097035,-0.190453,-0.212242,-0.086472,0.166451,-0.546945,1.444814,0.35009,1.058679,0
-0.024339,-3.737157,-3.293532,-1.094348,-0.970173,0.759762,-1.090892,-1.031539,-0.143651,0.219111,0.036413,1.274567,0.01262,0.262088,-0.175225,-0.78878,0.818138,1.499133,0.149645,-0.393158,0
1.614621,3.726488,-0.673952,-0.224942,-1.806271,1.557999,-0.874294,-1.026238,0.315802,-2.218374,-1.784884,1.19746,0.35227,-0.433377,0.207129,-0.090976,-0.825365,0.57594,-0.76556,-2.225927,2
2.478829,-0.838758,-2.7947,-2.243706,0.020489,-0.936179,-0.448537,-2.7058,-0.560728,-0.252994,-1.442985,0.273561,-1.225245,-0.536064,-0.90443,1.536475,-0.537601,-0.045428,-0.883715,-0.091784,0
0.625603,4.668718,0.510458,-0.643453,-0.034025,0.677347,-3.381542,-0.061598,0.921606,-0.014531,1.156406,-0.550705,-0.465914,1.100567,0.098863,-0.338538,-0.349872,0.426279,0.233192,0.121103,7
2.100643,1.447966,3.513228,1.885178,1.197274,-1.796746,-0.460728,-1.345525,-0.386638,1.051255,0.386203,-0.384549,-0.101819,0.681876,-0.380467,0.151966,0.699882,-0.659048,-0.091201,-0.310499,1
-4.739317,1.369295,-0.878604,1.809739,0.666928,1.139584,0.448948,0.552945,0.630129,-0.467098,0.043786,1.063637,1.572467,-0.818263,0.073127,0.810107,-0.943676,-0.21607,-0.432011,0.250657,3
4.54366,-2.487907,1.691438,-0.848498,1.637775,0.627159,-0.538657,-0.57468,0.831417,1.063399,-0.202326,-0.364234,1.048874,-0.87541,0.494756,-0.566851,-0.256327,-1.70364,0.299314,0.17855,4
5.691956,7.550944,-0.292115,-1.219842,-6.478036,5.115955,2.610783,1.895217,-2.877392,0.997984,-0.883392,1.80759,0.071525,-2.970185,-0.245753,-0.148871,1.724554,-0.439198,1.465779,2.604385,7
-3.321488,-0.147907,-1.832458,1.685499,2.002756,1.133539,0.302082,0.295102,-1.697162,-0.028889,0.324504,-0.156801,-0.294638,-0.12649,0.37545,-0.197233,-0.078362,-0.861887,0.174745,0.872119,3
0.123525,0.109861,-2.019039,-0.022715,-0.207186,-1.533412,-1.207187,1.129981,-0.955347,-0.836812,0.752902,-0.293421,0.19066,1.727109,-0.334005,-0.418892,-0.218366,-1.374361,-0.09516,0.288195,8
